movie,original_title,genres,directors,production_budget,domestic_gross,worldwide_gross,TN_year,TN_month
Doctor Strange,Doctor Strange,"Action,Adventure,Fantasy",nm0220600,165000000.0,232641920.0,676404566.0,2016,Nov
Big Hero 6,Big Hero 6,"Action,Adventure,Animation","nm2320658,nm0930261",165000000.0,222527828.0,652127828.0,2014,Nov
How to Train Your Dragon,How to Train Your Dragon,"Action,Adventure,Animation","nm0761498,nm0213450",165000000.0,217581232.0,494870992.0,2010,Mar
Wreck-It Ralph,Wreck-It Ralph,"Adventure,Animation,Comedy",nm0601781,165000000.0,189412677.0,496511521.0,2012,Nov
Interstellar,Interstellar,"Adventure,Drama,Sci-Fi",nm0634240,165000000.0,188017894.0,666379375.0,2014,Nov
Independence Day: Resurgence,Independence Day: Resurgence,"Action,Adventure,Sci-Fi",nm0000386,165000000.0,103144286.0,384169424.0,2016,Jun
Beauty and the Beast,Beauty and the Beast,"Family,Fantasy,Musical",nm0174374,160000000.0,504014165.0,1259199706.0,2017,Mar
Beauty and the Beast,Beauty and the Beast,"Family,Fantasy,Musical","nm10211048,nm9761305",160000000.0,504014165.0,1259199706.0,2017,Mar
Aquaman,Aquaman,"Action,Adventure,Fantasy",nm1490123,160000000.0,335061807.0,1146894640.0,2018,Dec
Inception,Inception,"Action,Adventure,Sci-Fi",nm0634240,160000000.0,292576195.0,835524642.0,2010,Jul
The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi",nm1349376,160000000.0,281723902.0,648986787.0,2015,Nov
Godzilla,Godzilla,"Action,Adventure,Sci-Fi",nm2284484,160000000.0,200676069.0,529076069.0,2014,May
The Sorcerer's Apprentice,The Sorcerer's Apprentice,"Action,Adventure,Family",nm0005509,160000000.0,63150991.0,217986320.0,2010,Jul
Warcraft,Warcraft,"Action,Adventure,Fantasy",nm1512910,160000000.0,47225655.0,425522281.0,2016,Jun
Deepwater Horizon,Deepwater Horizon,"Action,Drama,History",nm0000916,156000000.0,61433527.0,122603824.0,2016,Sep
The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure,Family,Fantasy",nm0000776,155000000.0,104386950.0,418186950.0,2010,Dec
Pacific Rim: Uprising,Pacific Rim: Uprising,"Action,Adventure,Sci-Fi",nm0215299,155000000.0,59874525.0,290930148.0,2018,Mar
War for the Planet of the Apes,War for the Planet of the Apes,"Action,Adventure,Drama",nm0716257,152000000.0,146880162.0,489592267.0,2017,Jul
Wonder Woman,Wonder Woman,"Action,Adventure,Fantasy",nm0420941,150000000.0,412563408.0,821133378.0,2017,Jun
Wonder Woman,Wonder Woman,"Documentary,Drama,Sport","nm6980872,nm3689788",150000000.0,412563408.0,821133378.0,2017,Jun
Wonder Woman,Wonder Woman,Sci-Fi,"nm3645818,nm4197194",150000000.0,412563408.0,821133378.0,2017,Jun
Frozen,Frozen,"Adventure,Animation,Comedy","nm0118333,nm1601644",150000000.0,400738009.0,1272469910.0,2013,Nov
Frozen,Frozen,"Adventure,Drama,Sport",nm1697112,150000000.0,400738009.0,1272469910.0,2013,Nov
Zootopia,Zootopia,"Adventure,Animation,Comedy","nm1158544,nm0397174,nm0601781",150000000.0,341268248.0,1019429616.0,2016,Mar
Moana,Moana,"Adventure,Animation,Comedy","nm0166256,nm0930261,nm0615780,nm2320658",150000000.0,248757044.0,637517365.0,2016,Nov
Thor: The Dark World,Thor: The Dark World,"Action,Adventure,Fantasy",nm0851930,150000000.0,206362140.0,644602516.0,2013,Nov
Dunkirk,Dunkirk,"Action,Drama,History",nm0634240,150000000.0,190068280.0,499837368.0,2017,Jul
Thor,Thor,"Action,Adventure,Fantasy",nm0000110,150000000.0,181030624.0,449326618.0,2011,May
Kung Fu Panda 2,Kung Fu Panda 2,"Action,Adventure,Animation",nm0950775,150000000.0,165249063.0,664837547.0,2011,May
